ProdutoID;Nome;Descrição;Preço;Estoque;CategoriaID;FornecedorID
103;Produto 103;Descrição do Produto 103;528.42;149;6;5
104;Produto 104;Descrição do Produto 104;332.75;325;4;1
105;Produto 105;Descrição do Produto 105;180.23;47;6;2
106;Produto 106;Descrição do Produto 106;875.25;206;10;3
107;Produto 107;Descrição do Produto 107;313.96;162;5;5
108;Produto 108;Descrição do Produto 108;434.64;266;10;3
109;Produto 109;Descrição do Produto 109;683.28;296;7;1
110;Produto 110;Descrição do Produto 110;293.58;462;10;2
111;Produto 111;Descrição do Produto 111;799.75;81;5;4
112;Produto 112;Descrição do Produto 112;969.28;422;4;2
113;Produto 113;Descrição do Produto 113;230.29;417;6;4
114;Produto 114;Descrição do Produto 114;791.76;479;4;1
115;Produto 115;Descrição do Produto 115;453.01;357;1;3
116;Produto 116;Descrição do Produto 116;646.01;357;9;3
117;Produto 117;Descrição do Produto 117;493.6;157;2;4
118;Produto 118;Descrição do Produto 118;107.42;351;5;1
119;Produto 119;Descrição do Produto 119;695.93;34;5;3
120;Produto 120;Descrição do Produto 120;778.58;23;4;2
121;Produto 121;Descrição do Produto 121;479.34;200;7;1
122;Produto 122;Descrição do Produto 122;22.22;166;8;3
123;Produto 123;Descrição do Produto 123;760.07;328;2;5
124;Produto 124;Descrição do Produto 124;467.94;404;5;3
125;Produto 125;Descrição do Produto 125;115.07;393;8;2
126;Produto 126;Descrição do Produto 126;716.23;204;1;5
127;Produto 127;Descrição do Produto 127;378.73;175;2;3
128;Produto 128;Descrição do Produto 128;68.91;362;3;4
129;Produto 129;Descrição do Produto 129;738.95;141;9;1
130;Produto 130;Descrição do Produto 130;259.18;52;4;1
131;Produto 131;Descrição do Produto 131;885.87;364;8;2
132;Produto 132;Descrição do Produto 132;695.76;457;4;2
133;Produto 133;Descrição do Produto 133;340.09;316;2;2
134;Produto 134;Descrição do Produto 134;857.88;182;8;2
135;Produto 135;Descrição do Produto 135;526.91;176;6;1
136;Produto 136;Descrição do Produto 136;206.2;494;6;3
137;Produto 137;Descrição do Produto 137;641.85;202;10;3
138;Produto 138;Descrição do Produto 138;524.87;324;9;1
139;Produto 139;Descrição do Produto 139;67.53;187;10;5
140;Produto 140;Descrição do Produto 140;340.98;358;1;3
141;Produto 141;Descrição do Produto 141;773.83;34;4;2
142;Produto 142;Descrição do Produto 142;211.8;452;2;3
143;Produto 143;Descrição do Produto 143;155.86;386;3;2
144;Produto 144;Descrição do Produto 144;229.4;318;5;2
145;Produto 145;Descrição do Produto 145;122.07;115;4;5
146;Produto 146;Descrição do Produto 146;332.33;321;7;1
147;Produto 147;Descrição do Produto 147;793.12;4;6;1
148;Produto 148;Descrição do Produto 148;63.27;211;4;3
149;Produto 149;Descrição do Produto 149;343.47;489;4;2
150;Produto 150;Descrição do Produto 150;114.35;307;2;3
151;Produto 151;Descrição do Produto 151;120.33;195;2;3
152;Produto 152;Descrição do Produto 152;393.62;31;10;2
153;Produto 153;Descrição do Produto 153;932.87;414;6;4
154;Produto 154;Descrição do Produto 154;548.71;93;4;5
155;Produto 155;Descrição do Produto 155;253.75;12;8;4
156;Produto 156;Descrição do Produto 156;584.16;149;7;3
157;Produto 157;Descrição do Produto 157;956.01;255;10;1
158;Produto 158;Descrição do Produto 158;386.95;248;4;4
159;Produto 159;Descrição do Produto 159;827.05;178;3;1
160;Produto 160;Descrição do Produto 160;453.31;286;9;1
161;Produto 161;Descrição do Produto 161;730.3;136;10;1
162;Produto 162;Descrição do Produto 162;56.8;159;6;2
163;Produto 163;Descrição do Produto 163;885.07;307;4;1
164;Produto 164;Descrição do Produto 164;972.47;108;9;5
165;Produto 165;Descrição do Produto 165;135.65;354;1;4
166;Produto 166;Descrição do Produto 166;277.68;453;6;4
167;Produto 167;Descrição do Produto 167;435.83;81;9;2
168;Produto 168;Descrição do Produto 168;55.66;234;9;4
169;Produto 169;Descrição do Produto 169;862.3;478;9;4
170;Produto 170;Descrição do Produto 170;584.47;164;7;1
171;Produto 171;Descrição do Produto 171;256.43;491;3;1
172;Produto 172;Descrição do Produto 172;646.26;75;7;2
173;Produto 173;Descrição do Produto 173;365.96;63;7;3
174;Produto 174;Descrição do Produto 174;134.02;448;9;3
175;Produto 175;Descrição do Produto 175;683.99;61;2;5
176;Produto 176;Descrição do Produto 176;820.53;335;7;5
177;Produto 177;Descrição do Produto 177;63.06;390;10;2
178;Produto 178;Descrição do Produto 178;221.56;467;10;1
179;Produto 179;Descrição do Produto 179;383.73;188;5;2
180;Produto 180;Descrição do Produto 180;933.26;215;7;5
181;Produto 181;Descrição do Produto 181;309.57;34;2;1
182;Produto 182;Descrição do Produto 182;823.43;207;1;3
183;Produto 183;Descrição do Produto 183;825.19;279;5;4
184;Produto 184;Descrição do Produto 184;200.78;59;10;3
185;Produto 185;Descrição do Produto 185;194.51;146;4;5
186;Produto 186;Descrição do Produto 186;638.52;165;5;5
187;Produto 187;Descrição do Produto 187;191.43;3;1;1
188;Produto 188;Descrição do Produto 188;689.83;87;10;1
189;Produto 189;Descrição do Produto 189;914.64;256;10;3
190;Produto 190;Descrição do Produto 190;633.57;273;4;3
191;Produto 191;Descrição do Produto 191;709.99;232;6;1
192;Produto 192;Descrição do Produto 192;171.38;15;1;5
193;Produto 193;Descrição do Produto 193;59.65;339;1;1
194;Produto 194;Descrição do Produto 194;456.24;450;7;3
195;Produto 195;Descrição do Produto 195;644.41;58;8;1
196;Produto 196;Descrição do Produto 196;963.99;320;5;4
197;Produto 197;Descrição do Produto 197;489.41;485;2;1
198;Produto 198;Descrição do Produto 198;802.68;307;1;4
199;Produto 199;Descrição do Produto 199;55.21;412;7;3
200;Produto 200;Descrição do Produto 200;784.73;302;10;3
201;Produto 201;Descrição do Produto 201;671.16;339;7;3
202;Produto 202;Descrição do Produto 202;751.65;66;2;4
203;Produto 203;Descrição do Produto 203;88.41;442;8;5
204;Produto 204;Descrição do Produto 204;507.23;8;7;2
205;Produto 205;Descrição do Produto 205;130.52;212;10;2
206;Produto 206;Descrição do Produto 206;67.81;442;1;4
207;Produto 207;Descrição do Produto 207;432.1;326;3;5
208;Produto 208;Descrição do Produto 208;196.1;60;1;3
209;Produto 209;Descrição do Produto 209;546.87;436;5;5
210;Produto 210;Descrição do Produto 210;374.03;78;4;3
211;Produto 211;Descrição do Produto 211;966.55;24;7;1
212;Produto 212;Descrição do Produto 212;896.34;343;4;1
213;Produto 213;Descrição do Produto 213;357.1;211;2;5
214;Produto 214;Descrição do Produto 214;163.64;244;8;4
215;Produto 215;Descrição do Produto 215;48.01;438;4;1
216;Produto 216;Descrição do Produto 216;209.72;135;9;5
217;Produto 217;Descrição do Produto 217;825.37;412;2;5
218;Produto 218;Descrição do Produto 218;529.13;328;2;4
219;Produto 219;Descrição do Produto 219;839.89;451;3;3
220;Produto 220;Descrição do Produto 220;253.43;23;1;2
221;Produto 221;Descrição do Produto 221;611.58;474;4;1
222;Produto 222;Descrição do Produto 222;682.86;233;9;4
223;Produto 223;Descrição do Produto 223;539.63;219;1;4
224;Produto 224;Descrição do Produto 224;803.14;350;7;5
225;Produto 225;Descrição do Produto 225;152.8;459;5;3
226;Produto 226;Descrição do Produto 226;352.49;83;5;4
227;Produto 227;Descrição do Produto 227;385.73;225;9;2
228;Produto 228;Descrição do Produto 228;955.35;157;5;5
229;Produto 229;Descrição do Produto 229;365.16;407;8;2
230;Produto 230;Descrição do Produto 230;890.07;440;9;5
231;Produto 231;Descrição do Produto 231;661.47;21;3;5
232;Produto 232;Descrição do Produto 232;796.36;370;7;1
233;Produto 233;Descrição do Produto 233;485.68;125;9;1
234;Produto 234;Descrição do Produto 234;41.16;488;10;1
235;Produto 235;Descrição do Produto 235;640.06;185;8;1
236;Produto 236;Descrição do Produto 236;778.59;316;2;5
237;Produto 237;Descrição do Produto 237;222.57;2;10;3
238;Produto 238;Descrição do Produto 238;780.2;230;8;4
239;Produto 239;Descrição do Produto 239;295.71;245;9;5
240;Produto 240;Descrição do Produto 240;457.54;492;3;3
241;Produto 241;Descrição do Produto 241;104.7;438;5;3
242;Produto 242;Descrição do Produto 242;999.62;287;7;1
243;Produto 243;Descrição do Produto 243;268.92;430;9;4
244;Produto 244;Descrição do Produto 244;833.28;100;9;1
245;Produto 245;Descrição do Produto 245;714.75;100;7;2
246;Produto 246;Descrição do Produto 246;125.07;218;5;4
247;Produto 247;Descrição do Produto 247;483.23;80;3;4
248;Produto 248;Descrição do Produto 248;153.55;56;2;5
249;Produto 249;Descrição do Produto 249;794.67;64;10;1
250;Produto 250;Descrição do Produto 250;389.06;190;7;1
251;Produto 251;Descrição do Produto 251;661.47;303;3;4
252;Produto 252;Descrição do Produto 252;249.73;299;7;4
253;Produto 253;Descrição do Produto 253;442.82;12;1;5
254;Produto 254;Descrição do Produto 254;110.13;377;4;4
255;Produto 255;Descrição do Produto 255;235.21;127;10;4
256;Produto 256;Descrição do Produto 256;506.35;143;5;5
257;Produto 257;Descrição do Produto 257;140.29;204;10;3
258;Produto 258;Descrição do Produto 258;919.99;326;5;1
259;Produto 259;Descrição do Produto 259;524.24;245;9;4
260;Produto 260;Descrição do Produto 260;703.17;369;8;4
261;Produto 261;Descrição do Produto 261;49.37;255;2;3
262;Produto 262;Descrição do Produto 262;650.69;378;6;4
263;Produto 263;Descrição do Produto 263;996.59;429;6;1
264;Produto 264;Descrição do Produto 264;270.58;249;10;1
265;Produto 265;Descrição do Produto 265;645.88;126;3;3
266;Produto 266;Descrição do Produto 266;121.9;48;3;2
267;Produto 267;Descrição do Produto 267;948.38;178;2;3
268;Produto 268;Descrição do Produto 268;115.89;440;7;1
269;Produto 269;Descrição do Produto 269;432.54;367;6;3
270;Produto 270;Descrição do Produto 270;953.58;273;2;1
271;Produto 271;Descrição do Produto 271;352.38;30;8;2
272;Produto 272;Descrição do Produto 272;784.11;210;5;1
273;Produto 273;Descrição do Produto 273;319.22;423;6;4
274;Produto 274;Descrição do Produto 274;607.4;78;7;2
275;Produto 275;Descrição do Produto 275;955.61;232;8;5
276;Produto 276;Descrição do Produto 276;637.23;373;7;4
277;Produto 277;Descrição do Produto 277;952.93;375;5;5
278;Produto 278;Descrição do Produto 278;495.54;106;1;3
279;Produto 279;Descrição do Produto 279;737.01;311;8;3
280;Produto 280;Descrição do Produto 280;348.63;363;5;3
281;Produto 281;Descrição do Produto 281;411.54;373;1;3
282;Produto 282;Descrição do Produto 282;681.87;188;3;4
283;Produto 283;Descrição do Produto 283;99.54;356;3;5
284;Produto 284;Descrição do Produto 284;978.59;157;4;3
285;Produto 285;Descrição do Produto 285;756.65;414;8;3
286;Produto 286;Descrição do Produto 286;964.51;136;3;5
287;Produto 287;Descrição do Produto 287;270.42;58;10;5
288;Produto 288;Descrição do Produto 288;73.92;413;10;2
289;Produto 289;Descrição do Produto 289;285.22;315;2;3
290;Produto 290;Descrição do Produto 290;587.35;245;6;2
291;Produto 291;Descrição do Produto 291;470.58;496;5;2
292;Produto 292;Descrição do Produto 292;292.91;9;2;3
293;Produto 293;Descrição do Produto 293;913.56;492;1;1
294;Produto 294;Descrição do Produto 294;390.95;309;10;2
295;Produto 295;Descrição do Produto 295;511.86;487;2;1
296;Produto 296;Descrição do Produto 296;178.85;137;3;4
297;Produto 297;Descrição do Produto 297;291.75;37;8;2
298;Produto 298;Descrição do Produto 298;260.26;201;8;5
299;Produto 299;Descrição do Produto 299;971.74;343;2;1
300;Produto 300;Descrição do Produto 300;496.01;390;6;4
301;Produto 301;Descrição do Produto 301;385.26;482;6;4
302;Produto 302;Descrição do Produto 302;454.78;335;1;3
303;Produto 303;Descrição do Produto 303;953.25;404;5;4
304;Produto 304;Descrição do Produto 304;203.38;487;5;4
305;Produto 305;Descrição do Produto 305;675.69;482;7;2
306;Produto 306;Descrição do Produto 306;806.91;399;7;2
307;Produto 307;Descrição do Produto 307;75.43;109;10;5
308;Produto 308;Descrição do Produto 308;10.22;323;4;5
309;Produto 309;Descrição do Produto 309;459.7;40;9;3
310;Produto 310;Descrição do Produto 310;326.66;383;9;2
311;Produto 311;Descrição do Produto 311;256.56;226;2;1
312;Produto 312;Descrição do Produto 312;491.24;445;6;2
313;Produto 313;Descrição do Produto 313;729.27;139;2;5
314;Produto 314;Descrição do Produto 314;421.46;450;5;3
315;Produto 315;Descrição do Produto 315;906.25;455;10;2
316;Produto 316;Descrição do Produto 316;977.66;32;2;2
317;Produto 317;Descrição do Produto 317;999.99;85;6;3
318;Produto 318;Descrição do Produto 318;138.84;190;5;5
319;Produto 319;Descrição do Produto 319;702.86;157;6;3
320;Produto 320;Descrição do Produto 320;663.97;457;8;2
321;Produto 321;Descrição do Produto 321;842.65;111;5;4
322;Produto 322;Descrição do Produto 322;818.38;497;4;4
323;Produto 323;Descrição do Produto 323;151.42;266;6;2
324;Produto 324;Descrição do Produto 324;595.83;46;4;4
325;Produto 325;Descrição do Produto 325;707.58;148;5;1
326;Produto 326;Descrição do Produto 326;161.09;61;10;2
327;Produto 327;Descrição do Produto 327;179.27;99;6;1
328;Produto 328;Descrição do Produto 328;958.25;113;5;5
329;Produto 329;Descrição do Produto 329;301.75;40;1;3
330;Produto 330;Descrição do Produto 330;572.97;369;4;4
331;Produto 331;Descrição do Produto 331;101.22;424;5;2
332;Produto 332;Descrição do Produto 332;154.51;483;5;4
333;Produto 333;Descrição do Produto 333;928.43;28;1;5
334;Produto 334;Descrição do Produto 334;91.92;366;4;4
335;Produto 335;Descrição do Produto 335;452.48;189;10;2
336;Produto 336;Descrição do Produto 336;254.76;239;10;1
337;Produto 337;Descrição do Produto 337;803.68;242;3;2
338;Produto 338;Descrição do Produto 338;960.41;16;1;1
339;Produto 339;Descrição do Produto 339;456.38;187;7;4
340;Produto 340;Descrição do Produto 340;386.09;360;1;3
341;Produto 341;Descrição do Produto 341;747.14;462;1;3
342;Produto 342;Descrição do Produto 342;626.0;176;4;3
343;Produto 343;Descrição do Produto 343;875.09;38;10;3
344;Produto 344;Descrição do Produto 344;825.38;419;8;5
345;Produto 345;Descrição do Produto 345;560.54;56;3;1
346;Produto 346;Descrição do Produto 346;531.39;237;10;2
347;Produto 347;Descrição do Produto 347;94.48;56;8;5
348;Produto 348;Descrição do Produto 348;111.55;409;7;3
349;Produto 349;Descrição do Produto 349;786.03;443;8;2
350;Produto 350;Descrição do Produto 350;537.75;160;2;5
351;Produto 351;Descrição do Produto 351;600.82;382;3;1
352;Produto 352;Descrição do Produto 352;854.64;370;8;5
353;Produto 353;Descrição do Produto 353;90.86;82;5;5
354;Produto 354;Descrição do Produto 354;524.53;70;6;2
355;Produto 355;Descrição do Produto 355;109.07;390;9;5
356;Produto 356;Descrição do Produto 356;252.29;431;4;3
357;Produto 357;Descrição do Produto 357;270.58;349;10;2
358;Produto 358;Descrição do Produto 358;457.54;125;8;4
359;Produto 359;Descrição do Produto 359;641.98;230;4;3
360;Produto 360;Descrição do Produto 360;149.83;316;4;2
361;Produto 361;Descrição do Produto 361;983.35;14;8;5
362;Produto 362;Descrição do Produto 362;459.54;156;2;2
363;Produto 363;Descrição do Produto 363;380.94;28;4;3
364;Produto 364;Descrição do Produto 364;376.14;235;3;4
365;Produto 365;Descrição do Produto 365;846.46;370;2;3
366;Produto 366;Descrição do Produto 366;844.96;358;6;1
367;Produto 367;Descrição do Produto 367;803.66;76;8;2
368;Produto 368;Descrição do Produto 368;726.17;35;7;3
369;Produto 369;Descrição do Produto 369;64.04;50;10;3
370;Produto 370;Descrição do Produto 370;250.08;481;10;1
371;Produto 371;Descrição do Produto 371;969.05;359;10;4
372;Produto 372;Descrição do Produto 372;94.42;278;1;3
373;Produto 373;Descrição do Produto 373;664.96;173;7;2
374;Produto 374;Descrição do Produto 374;968.9;472;4;2
375;Produto 375;Descrição do Produto 375;11.47;481;7;2
376;Produto 376;Descrição do Produto 376;351.55;377;10;2
377;Produto 377;Descrição do Produto 377;384.87;141;10;2
378;Produto 378;Descrição do Produto 378;458.17;464;6;3
379;Produto 379;Descrição do Produto 379;964.61;449;8;4
380;Produto 380;Descrição do Produto 380;53.35;182;8;1
381;Produto 381;Descrição do Produto 381;569.08;211;1;3
382;Produto 382;Descrição do Produto 382;818.93;434;3;3
383;Produto 383;Descrição do Produto 383;908.74;164;2;3
384;Produto 384;Descrição do Produto 384;997.07;474;2;2
385;Produto 385;Descrição do Produto 385;791.93;380;6;5
386;Produto 386;Descrição do Produto 386;256.87;99;7;3
387;Produto 387;Descrição do Produto 387;15.26;465;7;1
388;Produto 388;Descrição do Produto 388;205.25;311;7;4
389;Produto 389;Descrição do Produto 389;370.27;183;5;5
390;Produto 390;Descrição do Produto 390;877.59;361;6;1
391;Produto 391;Descrição do Produto 391;625.59;14;10;5
392;Produto 392;Descrição do Produto 392;984.22;126;1;4
393;Produto 393;Descrição do Produto 393;238.73;440;7;4
394;Produto 394;Descrição do Produto 394;265.2;422;9;1
395;Produto 395;Descrição do Produto 395;148.99;77;1;3
396;Produto 396;Descrição do Produto 396;21.83;209;1;4
397;Produto 397;Descrição do Produto 397;612.22;211;6;1
398;Produto 398;Descrição do Produto 398;168.26;269;7;1
399;Produto 399;Descrição do Produto 399;523.34;474;1;3
400;Produto 400;Descrição do Produto 400;474.9;99;8;3
401;Produto 401;Descrição do Produto 401;602.69;370;3;1
402;Produto 402;Descrição do Produto 402;269.18;500;3;2
403;Produto 403;Descrição do Produto 403;346.39;468;10;1
404;Produto 404;Descrição do Produto 404;562.69;177;2;4
405;Produto 405;Descrição do Produto 405;653.54;125;4;1
406;Produto 406;Descrição do Produto 406;558.47;163;2;4
407;Produto 407;Descrição do Produto 407;483.57;32;10;2
408;Produto 408;Descrição do Produto 408;462.76;381;3;2
409;Produto 409;Descrição do Produto 409;833.86;230;5;5
410;Produto 410;Descrição do Produto 410;259.92;415;6;2
411;Produto 411;Descrição do Produto 411;289.92;101;10;1
412;Produto 412;Descrição do Produto 412;164.15;187;2;5
413;Produto 413;Descrição do Produto 413;775.15;111;2;1
414;Produto 414;Descrição do Produto 414;253.1;228;10;3
415;Produto 415;Descrição do Produto 415;609.49;125;1;1
416;Produto 416;Descrição do Produto 416;936.9;428;5;3
417;Produto 417;Descrição do Produto 417;699.03;299;6;1
418;Produto 418;Descrição do Produto 418;506.31;134;9;1
419;Produto 419;Descrição do Produto 419;692.41;184;1;1
420;Produto 420;Descrição do Produto 420;388.18;274;5;4
421;Produto 421;Descrição do Produto 421;877.08;425;3;2
422;Produto 422;Descrição do Produto 422;427.87;155;1;4
423;Produto 423;Descrição do Produto 423;144.95;164;3;3
424;Produto 424;Descrição do Produto 424;257.11;64;6;5
425;Produto 425;Descrição do Produto 425;415.3;368;9;2
426;Produto 426;Descrição do Produto 426;496.36;284;10;3
427;Produto 427;Descrição do Produto 427;343.75;78;2;3
428;Produto 428;Descrição do Produto 428;547.69;287;2;1
429;Produto 429;Descrição do Produto 429;837.61;364;2;1
430;Produto 430;Descrição do Produto 430;83.94;256;7;3
431;Produto 431;Descrição do Produto 431;66.48;186;1;5
432;Produto 432;Descrição do Produto 432;257.19;31;9;3
433;Produto 433;Descrição do Produto 433;561.62;73;8;4
434;Produto 434;Descrição do Produto 434;90.13;156;2;3
435;Produto 435;Descrição do Produto 435;463.53;44;1;4
436;Produto 436;Descrição do Produto 436;935.03;37;6;5
437;Produto 437;Descrição do Produto 437;930.75;314;1;2
438;Produto 438;Descrição do Produto 438;274.49;374;3;5
439;Produto 439;Descrição do Produto 439;459.37;311;6;5
440;Produto 440;Descrição do Produto 440;932.97;332;5;3
441;Produto 441;Descrição do Produto 441;437.24;418;4;2
442;Produto 442;Descrição do Produto 442;78.63;245;8;4
443;Produto 443;Descrição do Produto 443;987.2;265;8;4
444;Produto 444;Descrição do Produto 444;814.44;179;10;2
445;Produto 445;Descrição do Produto 445;898.59;459;10;1
446;Produto 446;Descrição do Produto 446;486.82;392;5;3
447;Produto 447;Descrição do Produto 447;461.18;487;2;2
448;Produto 448;Descrição do Produto 448;279.24;113;9;4
449;Produto 449;Descrição do Produto 449;601.05;421;5;1
450;Produto 450;Descrição do Produto 450;284.37;465;5;3
451;Produto 451;Descrição do Produto 451;372.81;150;8;5
452;Produto 452;Descrição do Produto 452;515.68;368;6;1
453;Produto 453;Descrição do Produto 453;434.08;443;9;2
454;Produto 454;Descrição do Produto 454;465.77;139;1;4
455;Produto 455;Descrição do Produto 455;359.51;497;1;1
456;Produto 456;Descrição do Produto 456;657.8;248;10;1
457;Produto 457;Descrição do Produto 457;571.21;69;3;4
458;Produto 458;Descrição do Produto 458;960.06;250;9;2
459;Produto 459;Descrição do Produto 459;56.19;477;6;5
460;Produto 460;Descrição do Produto 460;235.29;347;2;3
461;Produto 461;Descrição do Produto 461;246.73;198;5;1
462;Produto 462;Descrição do Produto 462;730.41;434;3;3
463;Produto 463;Descrição do Produto 463;912.86;311;6;3
464;Produto 464;Descrição do Produto 464;554.41;373;1;5
465;Produto 465;Descrição do Produto 465;955.94;17;5;1
466;Produto 466;Descrição do Produto 466;896.31;303;1;4
467;Produto 467;Descrição do Produto 467;49.89;459;5;4
468;Produto 468;Descrição do Produto 468;728.73;167;8;2
469;Produto 469;Descrição do Produto 469;897.81;488;2;4
470;Produto 470;Descrição do Produto 470;132.76;412;5;1
471;Produto 471;Descrição do Produto 471;863.56;6;3;5
472;Produto 472;Descrição do Produto 472;580.09;183;3;2
473;Produto 473;Descrição do Produto 473;281.49;180;10;2
474;Produto 474;Descrição do Produto 474;718.28;258;5;4
475;Produto 475;Descrição do Produto 475;590.98;286;4;3
476;Produto 476;Descrição do Produto 476;949.4;262;4;5
477;Produto 477;Descrição do Produto 477;45.08;289;9;1
478;Produto 478;Descrição do Produto 478;404.08;140;4;5
479;Produto 479;Descrição do Produto 479;42.29;265;10;1
480;Produto 480;Descrição do Produto 480;300.6;305;4;1
